Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY	chrM	GL000220.1	KI270733.1
SRR17866817	1.0564310072313263	0.7235388651915379	0.5723735274583936	0.3807625347613613	0.5821746118670513	0.9215739650033609	0.7813673698775855	0.5490818891407013	0.7143597457581382	0.4878368183469105	0.9638681295430603	1.3380382699929576	0.4371183968896008	0.9335739475419353	0.8719853774979253	0.9397824479074568	1.7112497894076704	0.20717093674942683	2.4569317452657615	1.0801924178183582	2.263278596321486	1.8005495636937745	0.7401796198133596	0.08820673929463413	26103.537476769136	266.23854795571077	246.65365124926302
SRR17866818	1.3163161930619918	0.6895320152562852	0.530053902119015	0.3557647580785919	0.48015289047853954	0.8116807786777965	0.7759659445356575	0.49816629585420097	0.5740961727025619	0.49505951973231616	0.9412226963458324	1.3975196298229597	0.284747251294431	0.7736921071866961	0.8576284671921655	0.9932209897045888	1.6880974206705912	0.34400920839903776	3.0155308428930603	0.7255085838352962	2.0715394356952133	0.9988154172391498	0.3859624890658331	0.05236522682921405	35033.21956872496	228.4247675695558	211.09555803195389
SRR17866819	0.9375224346114054	0.9007414602458176	0.48258028458846597	0.39417091530024834	0.6193928774507085	1.3631305203904136	0.7627091276950883	0.4588237390307552	0.6346378864094555	0.5463559910728705	1.131892396365792	1.5916512400010292	0.37590887540278317	0.9409385043507876	0.7855878248495398	0.9154174623919309	1.6747610208878825	0.2714965931058855	2.7690284624961032	0.7162822632886989	4.6364019763267486	1.379664600988072	0.47897945833797945	0.08847139063991591	10474.051196430199	610.5156943597436	562.7592088381413
SRR17866820	0.9053306361451526	0.6670248637124401	0.4007923171128587	0.2900977107605646	0.44133551349081596	0.7490221481036073	0.5207906778759926	0.3640053426125858	0.5013783800268737	0.4055699776033318	0.8200980571058832	1.0263889533273598	0.2702825209340332	1.2693148898827742	0.5644637888716822	0.6936997910755963	1.162710465005192	0.2148419120495175	1.9649628638342431	0.5601696853416788	7.266350642688908	2.0161660232272935	0.3256766098966976	0.06395054291815097	28981.348507637478	1013.2277619529848	940.8277603195355
SRR17866821	1.0838931215852425	0.664068834254428	0.7180924635928563	0.27993109697337165	0.5803230823751355	0.9331076891272776	0.7777533662964848	0.4924625916435869	0.9830978006345517	0.3568500004412681	1.189989749847358	1.3234371824732585	0.5792964233263149	0.6422427472436457	0.6242537713500614	1.0606522216893584	1.3449256834243744	0.19325686445213802	2.9087202798112366	0.8194397361062445	3.999690688345122	0.9383000441803934	0.5229460690064678	0.12807789220106544	21290.19043309511	513.1489583595393	482.3932840910881
SRR17866822	1.28694886329706	0.6252860546592095	0.4840514773850429	0.3259428205196924	0.46929853747015304	0.7596125984682617	0.6904908210656623	0.4322606744838509	0.5529766146335546	0.4398810222793336	0.9918148646659263	1.3014714360812827	0.2712535253047082	0.7723696775005751	0.7649447284544975	1.1748287508479673	1.5150718643134786	0.297389443738167	2.8759972982009545	0.7550884476898246	2.7156122407878205	1.006598545435329	0.35748857611805573	0.07213201812094651	37957.58646934465	324.1087215575315	300.1461580205186
SRR27320655	1.303276800330397	0.7265758189046816	0.5970931358012643	0.4688205710969238	0.5692427646658724	0.815422222392443	1.048709864775806	0.5089514580840582	0.5975969396757554	0.5651949768429948	1.1035731720670703	1.1875207885973345	0.316734207412388	0.8677962984658107	0.8224404689855455	0.9989083987389783	1.5275028552371634	0.38250339761993807	2.7322283119099673	0.8111279994861859	1.2609097387577335	1.0809856324645526	0.3808473894333115	0.05084147163309469	33703.211303245924	100.65419537164118	92.97560250222324
SRR27320656	1.0316042846939124	0.7326489983807253	0.6335544370325134	0.4171370118694503	0.6472533093225321	0.9340914742379022	0.9997308794599006	0.7187851841587379	0.6987823193918499	0.6115211334025665	1.0298756784362237	1.3293781091545598	0.6809249226548394	0.5838609533051672	0.8045440509333578	0.9777833337269178	1.4348722411849946	0.21899489659308197	2.73568474165638	1.41887235932917	1.4054715368313466	1.4115193105519257	0.816489627107716	0.08958523019916828	25029.637913483388	119.86375410461139	111.29784098393326
SRR27320657	1.2205374532909268	0.7304207140340353	0.4321104377568397	0.4176425161801305	0.45802100026014403	0.7287190231723123	0.5643690904174816	0.38019812253987634	0.47372846160741106	0.45715289001894904	0.7906626390124863	0.9870840530757768	0.2573565295153262	1.2019283858701006	0.7242453527782873	0.845619258127747	1.293965150962323	0.2792678295610006	2.3548981069361874	0.6150735299694976	1.3041085241462032	1.6042744882872122	0.314783646202935	0.07303775571164389	53014.42257349539	134.50050924103127	126.33943755764732
SRR27320658	1.0794525277911968	1.1403178496991606	0.5311572694356058	0.43224013017287	0.5402996597228699	0.8258685535679331	0.7098211237261765	0.44960580657828453	0.6293594513051887	0.5849002303867343	0.952736237634274	1.1982006769726607	0.340296911959142	3.2898904286168285	0.7620841425469582	0.8276519776490754	1.442489252328386	0.33890618975991116	2.1928421822968946	0.6883180653913424	1.2953087283885485	2.723747641459778	0.3800408265026365	0.07728964839236985	19811.950449869866	120.07041687852181	111.87911413511306
